FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
53_53_Leiden	53_53_Leiden	-0.1495334	0.1239398	0.04116188	-0.03905965	0.02390654	0.003674171	-0.0001432564	-0.02802236	-0.007820898	-0.006049863
53_215297820	53_215297820	-0.1642375	0.1383522	0.04756937	-0.04507718	0.01180412	0.0001113595	0.0006771924	-0.02436042	-0.01044552	-0.006577471
54_54_Leiden	54_54_Leiden	-0.1513305	0.1202467	0.04338743	-0.040227	0.0227786	0.004953676	-0.001522531	-0.02914688	-0.009923894	-0.004812314
54_215287220	54_215287220	-0.1680692	0.1433395	0.04402568	-0.04646922	0.01395457	0.00388548	0.0001360745	-0.02775818	-0.01036495	-0.009103544
55_55_Leiden	55_55_Leiden	-0.1514374	0.1188494	0.04144359	-0.0412062	0.03110912	0.004103752	-0.0009330047	-0.02328589	-0.01006163	-0.003643692
55_215288630	55_215288630	-0.164786	0.1432832	0.0453414	-0.04128647	0.01394841	0.007248586	7.134134e-05	-0.02588374	-0.01243762	-0.002814731
56_56_Leiden	56_56_Leiden	-0.1570668	0.1260393	0.04316935	-0.03934442	0.02889799	0.00173435	0.001641875	-0.02525096	-0.009611548	-0.006783099
56_215288030	56_215288030	-0.1650863	0.1412257	0.04409847	-0.04214215	0.01343203	0.002571413	-0.001395973	-0.0293939	-0.01056888	-0.009487519
57_57_Leiden	57_57_Leiden	-0.1506761	0.1261549	0.04175267	-0.04107639	0.01341916	0.001752132	0.0002407331	-0.02501951	-0.008682505	-0.002543191
57_1095885505	57_1095885505	-0.1531266	0.1296178	0.04129369	-0.04368085	0.001218581	-0.002706877	0.003022252	-0.007150521	-0.002019751	0.0005573969
58_58_Leiden	58_58_Leiden	-0.1529855	0.122475	0.04316869	-0.04199993	0.02077935	0.0008906117	-0.001148957	-0.02747085	-0.01248926	-0.006052929
58_215292190	58_215292190	-0.1627547	0.1379102	0.04889948	-0.03880758	0.01567381	0.003515786	-0.002197676	-0.03031245	-0.0111258	-0.007601359
59_59_Leiden	59_59_Leiden	-0.1506323	0.12511	0.04371096	-0.03926978	0.01730292	0.004357017	-0.0009084195	-0.02468687	-0.01141995	-0.006774837
59_1150148419	59_1150148419	-0.1583951	0.1293423	0.04197927	-0.0445126	0.0203438	0.005404877	0.0004517635	-0.01283574	-0.003594375	1.791902e-05
60_60_Leiden	60_60_Leiden	-0.1534553	0.123629	0.04154763	-0.03952066	0.02105472	0.004365599	0.0002700515	-0.02780951	-0.01083736	-0.007523473
60_1071560419	60_1071560419	-0.1549346	0.1264436	0.04127976	-0.0398727	0.006915242	0.001618347	0.0001421401	-0.009494114	-0.004416592	-0.002352939
61_61_Leiden	61_61_Leiden	-0.1546022	0.1246074	0.04015164	-0.04205232	0.02585788	0.004543233	-0.0005163268	-0.02504367	-0.009960457	-0.006988686
61_1137892999	61_1137892999	-0.08845071	0.01165842	-0.0937291	0.01660117	0.006258419	0.000128354	0.001001138	-0.008200593	-0.0005845246	-0.001454497
62_62_Leiden	62_62_Leiden	-0.1461215	0.1219076	0.03794508	-0.04042562	0.02124301	0.003103647	-0.0004037663	-0.02101728	-0.007136411	-0.0003868415
62_ARC842	62_ARC842	-0.1409043	0.1277434	0.04519856	-0.04617649	-0.03288451	-0.001734582	-0.001717765	0.002548023	0.002963644	-0.00407533
63_63_Leiden	63_63_Leiden	-0.1503755	0.1222529	0.0440441	-0.03690476	0.02462172	0.002055028	-0.00279139	-0.02750279	-0.0105082	-0.006299519
63_EA3795	63_EA3795	-0.1637226	0.1354652	0.04472066	-0.04135366	0.02098739	0.005479979	-0.0003191263	-0.02558829	-0.006686125	-0.008961463
64_64_Leiden	64_64_Leiden	-0.1516704	0.1244188	0.04287989	-0.04086171	0.01693033	0.003733606	0.0002540744	-0.02348723	-0.01117642	-0.0071624
64_ARC584	64_ARC584	-0.1501912	0.1324844	0.05286659	-0.0471021	-0.04187824	0.0006415249	-0.001611349	0.004620308	0.00685966	-0.004584915
65_65_Leiden	65_65_Leiden	-0.1525633	0.1272497	0.03433218	-0.03818853	0.02440953	0.006115529	-0.001005367	-0.02977985	-0.01032163	-0.004245166
65_697	65_697	-0.1672878	0.1456135	0.04845667	-0.04446473	0.01249086	0.002684694	-0.001252739	-0.02834116	-0.01334526	-0.008025993
66_66_Leiden	66_66_Leiden	-0.1535311	0.1242147	0.04465523	-0.04169311	0.01555354	0.003776093	-0.0003767741	-0.02519234	-0.009095375	-0.004474749
66_409	66_409	-0.1631469	0.1405605	0.04472003	-0.04194615	0.01915101	0.00342923	0.001347015	-0.02772129	-0.01118396	-0.005822111
67_67_Leiden	67_67_Leiden	-0.1543998	0.1241172	0.04237636	-0.0441315	0.01199104	0.005606658	-0.001833869	-0.02404251	-0.007321692	-0.006373769
67_601	67_601	-0.1672321	0.1419458	0.04744468	-0.04506885	0.02129888	0.003692734	-0.00108292	-0.02501396	-0.01138957	-0.007610322
68_68_Leiden	68_68_Leiden	-0.142774	0.1152431	0.035356	-0.03964753	0.01610486	0.002843064	-0.003149606	-0.0242901	-0.008822312	-0.006868799
68_793	68_793	-0.1640879	0.1366245	0.04413078	-0.04422874	0.02085631	0.002905828	-0.002064998	-0.02567357	-0.008222993	-0.006374664
69_69_Leiden	69_69_Leiden	-0.1525656	0.1251208	0.0444589	-0.04105894	0.01984199	0.003466023	-0.001006713	-0.02332892	-0.007818669	-0.005262313
69_505	69_505	-0.1058264	0.07466921	-0.0472298	-0.01215503	-0.04162295	-0.00723416	0.002370888	0.009773144	-0.0002805899	0.008853524
70_70_Leiden	70_70_Leiden	-0.154422	0.1237538	0.042654	-0.04362457	0.0256293	0.001397003	0.0005959526	-0.02550235	-0.01231268	-0.006755293
70_889	70_889	-0.1644345	0.1376373	0.04228517	-0.04243768	0.0187706	0.002833194	9.175773e-05	-0.02691385	-0.01081812	-0.001625786
71_71_Leiden	71_71_Leiden	-0.1450912	0.1216674	0.04033786	-0.03975429	0.01902318	0.0009134883	-0.001291359	-0.02038728	-0.008503461	-0.004782111
71_121	71_121	-0.1611404	0.1371491	0.04578075	-0.0436455	0.01284251	0.001800968	0.0007493766	-0.02428955	-0.008323999	-0.004895113
73_73_Leiden	73_73_Leiden	-0.1522915	0.1241604	0.04664619	-0.04241395	0.02145396	0.003200684	0.0001831131	-0.02365195	-0.009178519	-0.007917949
73_313	73_313	-0.1647841	0.1378102	0.04583674	-0.04406459	0.02473923	0.00222132	0.001968043	-0.02202175	-0.009885418	-0.002932438
74_25	74_25	-0.1610129	0.1410042	0.04149902	-0.04147152	0.02114848	0.003085315	-0.0003670182	-0.02497787	-0.01146884	-0.004451608
74_74_Leiden	74_74_Leiden	-0.1450849	0.1168912	0.03884873	-0.0389772	0.02274835	0.004856006	-0.002714077	-0.02509455	-0.01070785	-0.00841518
75_75_Leiden	75_75_Leiden	-0.1514442	0.1269109	0.04804502	-0.04222047	0.02081006	0.005889623	0.00139454	-0.02557883	-0.009536576	-0.004233661
75_215293710	75_215293710	-0.1660782	0.1427336	0.04402373	-0.04139344	0.009172149	-8.521522e-05	0.0006793437	-0.02437366	-0.009703321	-0.005626686
76_76_Leiden	76_76_Leiden	-0.1509596	0.1273389	0.04194124	-0.04192929	0.0239267	0.004468624	0.0005730794	-0.02943264	-0.01337447	-0.004346577
77_77_Leiden	77_77_Leiden	-0.1517897	0.1243487	0.04476016	-0.04037721	0.01994969	0.00393163	-0.002225549	-0.02515848	-0.01150386	-0.007823075
77_215293730	77_215293730	-0.1684594	0.139583	0.04334883	-0.04229896	0.01573397	0.003636579	-0.002156419	-0.028883	-0.008724908	-0.007559034
78_78_Leiden	78_78_Leiden	-0.1524062	0.1242112	0.04027933	-0.03879692	0.02545949	0.001370691	-0.001094867	-0.03081398	-0.01048569	-0.007943429
78_215287260	78_215287260	-0.1656493	0.1390176	0.04347048	-0.04276714	0.008275353	0.007146462	-0.004266478	-0.03180225	-0.01182849	-0.007487098
79_79_Leiden	79_79_Leiden	-0.1528562	0.1260234	0.04222431	-0.04130136	0.02585685	0.003310345	-0.0005275019	-0.02797213	-0.01218257	-0.007349158
79_215288760	79_215288760	-0.1631811	0.1380007	0.04496114	-0.04273187	0.01555164	0.001757254	-0.0008487093	-0.02403926	-0.003503011	-0.002957964
80_80_Leiden	80_80_Leiden	-0.1456282	0.1274402	0.03976237	-0.0391194	0.01774518	0.002449795	-0.000610308	-0.02520665	-0.009321852	-0.006203965
80_215298500	80_215298500	-0.1640878	0.1360205	0.04332594	-0.03702186	0.01168629	0.006238753	-0.0003508324	-0.02819079	-0.013274	-0.006628546
81_1085460215	81_1085460215	-0.1570342	0.1292616	0.03759947	-0.04062555	0.006423108	0.00172387	-0.001273504	-0.01515444	-0.005768213	-0.003128185
82_82_Leiden	82_82_Leiden	-0.1454808	0.1209998	0.04207025	-0.04020504	0.02268958	0.005254762	-0.0001957489	-0.0251465	-0.009381014	-0.005476955
83_83_Leiden	83_83_Leiden	-0.1458441	0.1215631	0.04167801	-0.04436498	0.01246383	0.0008889995	-0.001180459	-0.02006248	-0.00874804	-0.005721894
83_1141431478	83_1141431478	-0.1521676	0.1275976	0.03838102	-0.03638019	0.01383019	0.0004545667	0.001538254	-0.01191155	-0.007419684	-0.0006556082
84_84_Leiden	84_84_Leiden	-0.1541005	0.1301358	0.04660777	-0.03913411	0.0239647	0.002802743	0.001882174	-0.02855085	-0.01406646	-0.008162002
84_1109616822	84_1109616822	-0.1565671	0.1276112	0.03701259	-0.03820302	0.01531486	0.000811328	-4.126335e-05	-0.009849738	0.0004123133	-0.001544835
85_85_Leiden	85_85_Leiden	-0.1534216	0.1263034	0.03924725	-0.04235607	0.01670191	0.001162099	-0.00125904	-0.02684495	-0.008134627	-0.008442345
85_1153940018	85_1153940018	-0.1545559	0.1300918	0.04085518	-0.03721884	0.02023873	-0.002076095	0.000714717	-0.01231443	-0.008923331	-0.003853755
86_86_Leiden	86_86_Leiden	-0.1550703	0.1273672	0.04303101	-0.0420147	0.02956429	0.001628157	-0.001067549	-0.02445733	-0.01248129	-0.005452196
86_EA3946	86_EA3946	-0.1588457	0.1356413	0.04263717	-0.04252113	0.01162274	0.001623442	-4.021269e-05	-0.02528924	-0.009559786	-0.006458254
87_87_Leiden	87_87_Leiden	-0.1528853	0.127218	0.04036619	-0.03911603	0.02142748	0.005214671	0.0008804735	-0.0257122	-0.008496681	-0.007383715
87_961	87_961	-0.1622395	0.1349888	0.04550489	-0.04259934	0.006216945	-0.000367233	0.002216117	-0.02436894	-0.009236412	-0.006341345
88_88_Leiden	88_88_Leiden	-0.1566234	0.1287336	0.04458475	-0.04157189	0.0270552	0.003217424	0.0006485111	-0.02793129	-0.01341577	-0.008332245
88_ARC633	88_ARC633	-0.1415083	0.130493	0.04125989	-0.043437	-0.03752042	0.003439706	-0.001823381	0.005328262	0.001318367	-0.002682438
89_89_Leiden	89_89_Leiden	-0.1446393	0.1169506	0.03957417	-0.04082803	0.01850963	0.001202707	-0.0001545086	-0.02177086	-0.008372267	-0.003762647
90_90_Leiden	90_90_Leiden	-0.1484141	0.1288743	0.04057395	-0.04135192	0.01213386	0.003781128	0.001747281	-0.02745541	-0.009895362	-0.007061937
90_721	90_721	-0.1652465	0.1392312	0.0466937	-0.04518287	0.02917295	0.005940407	0.00166084	-0.0313863	-0.01363664	-0.006920149
91_91_Leiden	91_91_Leiden	-0.1510994	0.121712	0.04200713	-0.04207376	0.01938481	-0.000451134	0.0004982152	-0.02616064	-0.009489512	-0.005427974
