FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
66_66_Leiden	66_66_Leiden	0.02359668	0.2318022	0.008240168	-0.02937835	-0.01127135	-0.01299473	0.02098457	0.03659296	-0.006018957	-0.01173811
66_409	66_409	0.03325241	0.2393541	0.01009987	-0.02772273	-0.008244725	-0.01351678	0.02491071	0.03519464	-0.01136028	-0.0009349241
67_67_Leiden	67_67_Leiden	0.02813476	0.2299482	0.004089328	-0.02758053	-0.01253097	-0.01059769	0.0182287	0.03475024	-0.001942433	-0.009118256
67_601	67_601	0.02820163	0.2334117	0.005022739	-0.02448963	-0.0094326	-0.01420767	0.02515383	0.03130138	-0.005174452	-0.01295808
68_68_Leiden	68_68_Leiden	0.0242265	0.2232703	0.005980075	-0.02681085	-0.01371209	-0.0128392	0.02279596	0.0305728	-0.005048128	-0.007466804
68_793	68_793	0.02489355	0.230796	0.009182901	-0.02824041	-0.00371246	-0.01328275	0.01983307	0.03109056	-0.004251226	-0.01212344
69_69_Leiden	69_69_Leiden	0.02872892	0.230258	0.006246332	-0.03172563	-0.01590902	-0.01509071	0.01967564	0.0312584	-0.005707751	-0.008956805
69_505	69_505	0.02476319	0.2240571	0.004978078	-0.02721901	-0.009703592	-0.0166526	0.02776502	0.02892722	-0.01151227	-0.007628318
70_70_Leiden	70_70_Leiden	0.02634907	0.2295756	0.003794427	-0.025283	-0.01011837	-0.007390061	0.01844876	0.03268963	-0.01209703	-0.009110806
70_889	70_889	0.02659132	0.2324012	-0.003688737	-0.02462833	-0.01375331	-0.01117525	0.02121949	0.0343127	-0.008520461	-0.009685838
71_71_Leiden	71_71_Leiden	0.02093139	0.2358925	0.002175335	-0.02599755	-0.01508151	-0.01322798	0.02224639	0.03610206	-0.004738365	-0.0089523
71_121	71_121	0.02490387	0.2297759	0.007610557	-0.02648814	-0.004623015	-0.01146833	0.02460211	0.03641044	-0.004520868	-0.009254005
73_73_Leiden	73_73_Leiden	0.02682038	0.2277601	0.008289305	-0.02699354	-0.01488006	-0.00860342	0.01904488	0.03068792	-0.005923526	-0.00749445
73_313	73_313	0.02705066	0.2324209	0.007594218	-0.02707927	-0.01347917	-0.01273641	0.02066513	0.02880637	-0.005615802	-0.01228074
74_25	74_25	0.02772324	0.2352594	0.005940785	-0.02764318	-0.01266709	-0.01387871	0.02271784	0.03074945	-0.008448302	-0.0103474
74_74_Leiden	74_74_Leiden	0.02665273	0.2255564	0.01169356	-0.02371494	-0.01020138	-0.01010098	0.02173471	0.03388477	-0.01374242	-0.01007632
75_75_Leiden	75_75_Leiden	0.02249722	0.2336705	0.01142355	-0.02844333	-0.01289363	-0.01245855	0.02168264	0.03695611	-0.008690985	-0.01134718
75_215293710	75_215293710	0.02905786	0.2296878	0.00972417	-0.0299469	-0.009899736	-0.01221411	0.01909593	0.03687892	-0.006156361	-0.00973617
76_76_Leiden	76_76_Leiden	0.02618113	0.2279244	0.006338866	-0.02385634	-0.01064491	-0.01178836	0.01988325	0.03289393	-0.009967032	-0.01443005
77_77_Leiden	77_77_Leiden	0.0232523	0.2260298	0.007092812	-0.02848414	-0.007329673	-0.01146152	0.02249787	0.03443946	-0.00186673	-0.00501597
77_215293730	77_215293730	0.02280998	0.2344159	0.008176203	-0.0286026	-0.0156388	-0.01474496	0.02132928	0.02731304	-0.002237135	-0.01046529
78_78_Leiden	78_78_Leiden	0.02563853	0.2342993	0.002867751	-0.02645729	-0.009442172	-0.009513986	0.01729081	0.03108354	-0.007800952	-0.006241519
78_215287260	78_215287260	0.02816792	0.2351952	0.006899603	-0.0298437	-0.009624261	-0.01420879	0.02252451	0.02891461	-0.0047825	-0.01415854
79_79_Leiden	79_79_Leiden	0.02477369	0.2345151	0.00324369	-0.02979792	-0.009967775	-0.01154817	0.01828991	0.03512908	-0.005936567	-0.009205885
79_215288760	79_215288760	0.0271925	0.2309193	0.009312513	-0.02748005	-0.006193336	-0.0122739	0.02270143	0.03457799	-0.007103035	-0.006103496
80_80_Leiden	80_80_Leiden	0.02794602	0.2348685	0.01015335	-0.0277954	-0.01269034	-0.008904975	0.0216074	0.03724614	-0.004265736	-0.01302717
80_215298500	80_215298500	0.02430693	0.2330122	0.005148408	-0.02803762	-0.006198968	-0.01180424	0.02395466	0.03497306	-0.004908596	-0.009654947
81_1085460215	81_1085460215	0.02663374	0.2293586	0.002384391	-0.02540749	-0.009058459	-0.0120635	0.02067545	0.03650808	-0.007837273	-0.009191056
82_82_Leiden	82_82_Leiden	0.023032	0.2259111	0.006114717	-0.02960879	-0.00881723	-0.01304192	0.01996533	0.02853834	-0.004657532	-0.01091595
83_83_Leiden	83_83_Leiden	0.02707874	0.2302035	0.006559501	-0.02254381	-0.01052677	-0.008658049	0.01992728	0.03089063	-0.009769437	-0.01003553
83_1141431478	83_1141431478	0.02315121	0.225427	0.008031476	-0.0252081	-0.0136083	-0.01201543	0.01653931	0.03445107	-0.007261125	-0.00721974
84_84_Leiden	84_84_Leiden	0.02804405	0.2279416	0.01196376	-0.02638748	-0.01945738	-0.01525066	0.02164753	0.03305565	-0.009642764	-0.01372542
84_1109616822	84_1109616822	0.02618494	0.2353659	0.005152009	-0.02584535	-0.01420013	-0.01183725	0.01996486	0.03578307	-0.006184313	-0.007906185
